beneficiary_id,first_name,last_name,gender,county,program,activity,sessions_attended,sessions_expected,participation_rate,completion_status,enrollment_date,reporting_period,status
BEN-000001,Otieno,Onyango,Male,nairobi,Plus,Health & Wellness,3,6,50.0,Dropped,2025-08-27,Q3 2025,dropped_out
BEN-000002,Njeri,Kiptoo,Female,Nakuru,Plus,Community Service,4,8,50.0,Completed,2026-02-25,Q1 2026,completed
BEN-000005,Boniface,Nyambane,Male,Nairobi,Plus,Entrepreneurship,14,15,93.3,Completed,2025-04-20,Q2 2025,completed
BEN-000011,Collins,Kilonzo,Male,Uasin Gishu,Plus,Health & Wellness,5,10,50.0,In Progress,2026-02-17,Q1 2026,active
BEN-000012,Brian,Mutiso,Male,NAIROBI,Plus,Entrepreneurship,10,14,71.4,Completed,2025-12-17,Q4 2025,completed
BEN-000015,Beatrice,Njoroge,Female,Nairobi,Plus,Mentorship,8,15,53.3,Completed,2026-04-26,Q2 2026,completed
BEN-000017,Wanjiku,Hassan,Female,Uasin Gishu,Plus,Community Service,10,10,100.0,Completed,2025-10-24,Q4 2025,completed
BEN-000019,Francis,Muthoni,Male,meru,Plus,Mentorship,10,19,52.6,In Progress,2026-09-27,Q3 2026,active
BEN-000020,Wangari,Baya,Female,Kisumu,Plus,Life Skills,13,13,100.0,Completed,2026-04-10,Q2 2026,completed
BEN-000021,Chebet,Onyango,Female,Bungoma,Plus,Financial Literacy,5,10,50.0,Dropped,2026-03-29,Q1 2026,dropped_out
BEN-000023,Joy,Nduta,Female,Kisumu,Plus,Entrepreneurship,7,10,70.0,Completed,2025-08-11,Q3 2025,completed
BEN-000026,Barasa,Ochieng,Male,Kakamega,Plus,Mentorship,9,13,69.2,Completed,2026-01-16,Q1 2026,completed
BEN-000029,Anyango,Bett,Female,Mombasa,Plus,Community Service,6,7,85.7,Completed,2025-03-30,Q1 2025,completed
BEN-000031,Wekesa,Kuria,Male,Nyeri,Plus,Health & Wellness,5,7,71.4,In Progress,2026-02-04,Q1 2026,active
BEN-000035,Musyoka,Ngugi,Male,Meru,Plus,Entrepreneurship,12,13,92.3,In Progress,2026-07-05,Q3 2026,active
BEN-000036,Achieng,Kilonzo,Female,Kiambu,Plus,Life Skills,7,11,63.6,Completed,2026-01-03,Q1 2026,completed
BEN-000037,Cherono,Musyoka,Female,Bungoma,Plus,Health & Wellness,7,8,87.5,In Progress,2026-01-07,Q1 2026,active
