beneficiary_id,first_name,last_name,gender,county,program,institution,education_level,academic_year,attendance_rate,performance_score,completion_status,enrollment_date,reporting_period,status
BEN-000010,Victor,Mohamed,Male,Nakuru,Scholarship,Mount Kenya University,Diploma,2025/2026,81.5,55.2,In Progress,2025-12-19,Q4 2025,active
BEN-000012,Brian,Mutiso,Male,Nairobi,Scholarship,Daystar University,Diploma,2025/2026,100.0,59.8,In Progress,2026-03-23,Q1 2026,active
BEN-000014,Samuel,Kamau,Male,Nyeri,Scholarship,Strathmore University,Bachelor,2025/2026,97.5,66.6,In Progress,2026-07-28,Q3 2026,active
BEN-000015,Beatrice,Njoroge,Female,Nairobi,Scholarship,Jomo Kenyatta University,Bachelor,2025/2026,86.5,35.1,In Progress,2025-11-07,Q4 2025,active
BEN-000018,Nyambura,Hassan,Female,Kiambu,Scholarship,Jomo Kenyatta University,Diploma,2025/2026,89.6,88.8,In Progress,2026-05-10,Q2 2026,active
BEN-000031,Wekesa,Kuria,Male,Nyeri,Scholarship,Maseno University,Master,2025/2026,81.3,50.5,In Progress,2026-03-06,Q1 2026,active
BEN-000032,Akinyi,Matano,Female,Meru,Scholarship,Daystar University,Diploma,2025/2026,72.2,70.7,In Progress,2026-04-21,Q2 2026,active
BEN-000038,Cheruiyot,Nduta,Male,Muranga,Scholarship,Catholic University of Eastern Africa,Bachelor,2026/2027,83.4,77.0,In Progress,2026-09-03,Q3 2026,active
BEN-000042,Wanjiru,Wekesa,Female,Kisumu,Scholarship,Africa Nazarene University,Master,2025/2026,59.2,52.1,In Progress,2026-07-27,Q3 2026,active
BEN-000045,Collins,Mbogo,Male,Nairobi,Scholarship,Africa Nazarene University,Master,2025/2026,91.2,73.8,In Progress,2026-02-26,Q1 2026,active
BEN-000046,Daniel,Koech,Male,Kiambu,Scholarship,Kenyatta University,Diploma,2025/2026,84.6,83.7,In Progress,2026-06-09,Q2 2026,active
BEN-000047,John,Nyambane,Male,Kilifi,Scholarship,Moi University,Bachelor,2024/2025,69.7,47.5,Completed,2025-01-12,Q1 2025,completed
BEN-000049,Kendi,Kiptoo,Female,Kiambu,Scholarship,Mount Kenya University,Diploma,2025/2026,85.2,69.2,In Progress,2025-11-15,Q4 2025,active
BEN-000051,Faith,Wekesa,Female,Uasin Gishu,Scholarship,Jomo Kenyatta University,Master,2024/2025,70.0,65.2,Dropped,2025-04-05,Q2 2025,dropped_out
BEN-000052,Beatrice,Kamau,Female,Machakos,Scholarship,Jomo Kenyatta University,Bachelor,2025/2026,84.4,49.0,In Progress,2026-03-11,Q1 2026,active
BEN-000053,Stephen,Muthoni,Male,Machakos,Scholarship,Mount Kenya University,Bachelor,2025/2026,83.5,71.7,In Progress,2026-04-10,Q2 2026,active
BEN-000056,Njeri,Nyambane,Female,Nairobi,Scholarship,Kenyatta University,Bachelor,2024/2025,77.1,70.0,Completed,2025-05-26,Q2 2025,completed
BEN-000062,Musyoka,Mbogo,Male,Kilifi,Scholarship,Daystar University,Bachelor,2025/2026,82.7,71.1,Completed,2026-01-12,Q1 2026,completed
BEN-000067,Mercy,Kariuki,Female,Kajiado,Scholarship,Africa Nazarene University,Master,2025/2026,74.1,56.3,In Progress,2026-03-15,Q1 2026,active
BEN-000068,Samuel,Cheruiyot,Male,Kiambu,Scholarship,Africa Nazarene University,Master,2024/2025,96.9,59.3,Completed,2025-01-12,Q1 2025,completed
BEN-000069,Wanjiku,Musyoka,Female,Kakamega,Scholarship,Catholic University of Eastern Africa,Bachelor,2025/2026,55.3,43.1,In Progress,2026-07-04,Q3 2026,active
BEN-000070,Nasieku,Mutiso,Female,Kakamega,Scholarship,Maseno University,Bachelor,2025/2026,72.4,64.9,In Progress,2026-08-16,Q3 2026,active
BEN-000073,Chepkoech,Barasa,Female,Bungoma,Scholarship,University of Nairobi,Diploma,2025/2026,85.0,60.5,In Progress,2026-07-30,Q3 2026,active
BEN-000076,Dennis,Owino,Male,Nairobi,Scholarship,Mount Kenya University,Bachelor,2025/2026,91.8,62.0,In Progress,2026-03-04,Q1 2026,active
BEN-000078,Mutua,Hassan,Male,Nakuru,Scholarship,Strathmore University,Diploma,2024/2025,83.0,54.8,Completed,2025-07-08,Q3 2025,completed
BEN-000079,Naisula,Juma,Female,Bungoma,Scholarship,Catholic University of Eastern Africa,Bachelor,2024/2025,76.8,73.6,Completed,2025-08-23,Q3 2025,completed
BEN-000085,John,Njenga,Male,Mombasa,Scholarship,Maseno University,Bachelor,2025/2026,85.8,40.0,In Progress,2026-04-29,Q2 2026,active
