beneficiary_id,first_name,last_name,gender,county,program,course,training_center,attendance_rate,completion_status,certification_status,employment_status,enrollment_date,reporting_period,status
BEN-000006,Diana,Charo,Female,Kajiado,Vocational,Tailoring,Eldoret Polytechnic,82.4,COMPLETED,Certified,Unemployed,2025-02-04,Q1 2025,completed
BEN-000007,Juma,Njoroge,Male,Kiambu,Vocational,Electrical Installation,Thika Technical Training Institute,89.0,Completed,Certified,Employed,2025-11-08,Q4 2025,completed
BEN-000009,John,Ochieng,Male,MURANGA,Vocational,Hairdressing,Nakuru Vocational Training Centre,89.6,Dropped,Not Certified,Unemployed,2025-06-22,Q2 2025,dropped_out
BEN-000020,Francis,Musyoka,Male,Kisumu,Vocational,Plumbing,Kisumu Technical Training Institute,61.2,In Progress,Pending,Unemployed,2026-05-29,Q2 2026,active
BEN-000036,Faith,Wekesa,Female,Uasin Gishu,Vocational,Tailoring,Eldoret Polytechnic,88.6,Dropped,Not Certified,Unemployed,2025-11-11,Q4 2025,dropped_out
BEN-000040,Joseph,Chebet,Male,Nakuru,Vocational,Plumbing,Nakuru Vocational Training Centre,91.3,In Progress,Pending,Unemployed,2026-04-15,Q2 2026,active
BEN-000055,Wanjiku,Kimani,Female,Kiambu,Vocational,Motor Vehicle Mechanics,Thika Technical Training Institute,84.7,In Progress,Pending,Unemployed,2026-06-29,Q2 2026,active
BEN-000056,Njeri,Kilonzo,Female,Nairobi,Vocational,Tailoring,Nairobi TVET,78.3,In Progress,Pending,Unemployed,2026-03-06,Q1 2026,active
BEN-000062,Gathoni,Maina,Female,Machakos,Vocational,Welding,Machakos Institute of Technology,61.9,Completed,Certified,Internship,2026-03-18,Q1 2026,completed
BEN-000063,Musyoka,Otieno,Male,Nyeri,Vocational,Cooking & Catering,Nyeri Technical Training Institute,69.8,In Progress,Pending,Unemployed,2026-06-05,Q2 2026,active
BEN-000064,Faith,Kamau,Female,Kiambu,Vocational,Plumbing,Thika Technical Training Institute,79.3,Dropped,Not Certified,Self-Employed,2025-09-04,Q3 2025,dropped_out
BEN-000066,Jerop,Mutua,Female,Nairobi,Vocational,Tailoring,Nairobi TVET,84.3,In Progress,Pending,Unemployed,2026-08-28,Q3 2026,active
